joke_id,text,category,source
200,"My wife is really mad at the fact that I have no sense of direction.
So I packed up my stuff and right.",Misc,jokeapi
206,I was going to tell a dead baby joke. But I decided to abort.,Dark,jokeapi
196,Schrödinger's cat walks into a bar and doesn't.,Misc,jokeapi
41,"Hey Girl,
Roses are #ff0000,
Violets are #0000ff,
I use hex codes,
But I'd use RGB for you.",Programming,jokeapi
125,I'm reading a book about anti-gravity. It's impossible to put down!,Pun,jokeapi
4,"Java and C were telling jokes. It was C's turn, so he writes something on the wall, points to it and says ""Do you get the reference?"" But Java didn't.",Programming,jokeapi
33,"Today I learned that changing random stuff until your program works is ""hacky"" and a ""bad coding practice"" but if you do it fast enough it's ""Machine Learning"" and pays 4x your current salary.",Programming,jokeapi
235,I was reading a great book about an immortal dog the other day. It was impossible to put down.,Pun,jokeapi
72,"A neutron walks into a bar and asks for a price on a drink.
The barkeeper says: ""For you... no charge!""",Misc,jokeapi
56,"""Can I tell you a TCP joke?""
""Please tell me a TCP joke.""
""OK, I'll tell you a TCP joke.""",Programming,jokeapi
27,"Java is like Alzheimer's, it starts off slow, but eventually, your memory is gone.",Programming,jokeapi
2,"A guy walks into a bar and asks for 1.4 root beers.
The bartender says ""I'll have to charge you extra, that's a root beer float"".
The guy says ""In that case, better make it a double.""",Programming,jokeapi
34,"Eight bytes walk into a bar.
The bartender asks, ""Can I get you anything?""
""Yeah,"" reply the bytes.
""Make us a double.""",Programming,jokeapi
138,"If you're here for the yodeling lesson, please form an orderly orderly orderly queue.",Misc,jokeapi
0,I've got a really good UDP joke to tell you but I don’t know if you'll get it.,Programming,jokeapi
50,Algorithm: A word used by programmers when they don't want to explain how their code works.,Programming,jokeapi
43,"How do you tell HTML from HTML5?
- Try it out in Internet Explorer
- Did it work?
- No?
- It's HTML5.",Programming,jokeapi
5,"A SQL statement walks into a bar and sees two tables.
It approaches, and asks ""may I join you?""",Programming,jokeapi
203,"I bought some shoes from a drug dealer. I don't know what he laced them with, but I was tripping all day!",Pun,jokeapi
234,"My parents raised me as an only child, which really annoyed my younger brother.",Misc,jokeapi
39,The generation of random numbers is too important to be left to chance.,Programming,jokeapi
237,"I have a joke about trickle down economics, but 99% of you will never get it.",Pun,jokeapi
122,"The six stages of debugging:
1. That can't happen.
2. That doesn't happen on my machine.
3. That shouldn't happen.
4. Why does that happen?
5. Oh, I see.
6. How did that ever work?",Programming,jokeapi
18,"""Honey, go to the store and buy some eggs.""
""OK.""
""Oh and while you're there, get some milk.""
He never returned.",Programming,jokeapi
40,Debugging: Removing the needles from the haystack.,Programming,jokeapi
300,"I have a joke about Stack Overflow, but you would say it's a duplicate.",Programming,jokeapi
131,"Four engineers get into a car. The car won't start.
The Mechanical engineer says ""It's a broken starter"".
The Electrical engineer says ""Dead battery"".
The Chemical engineer says ""Impurities in the gasoline"".
The IT engineer says ""Hey guys, I have an idea: How about we all get out of the car and get back in"".",Programming,jokeapi
287,"A perfectionist walked into a bar... apparently, the bar was not set high enough.",Misc,jokeapi
45,"Judge: ""I sentence you to the maximum punishment...""
Me (thinking): ""Please be death, please be death...""
Judge: ""Learn Java!""
Me: ""Damn.""",Programming,jokeapi
183,Being a self-taught developer is almost the same as being a cut neck chicken because you have no sense of direction in the beginning.,Programming,jokeapi
207,"I'll never forget my Granddad's last words to me just before he died. ""Are you still holding the ladder?""",Dark,jokeapi
12,"// This line doesn't actually do anything, but the code stops working when I delete it.",Programming,jokeapi
54,"Your momma is so fat, you need to switch to NTFS to store a picture of her.",Programming,jokeapi
25,"ASCII silly question, get a silly ANSI.",Programming,jokeapi
35,There are only 10 kinds of people in this world: those who know binary and those who don't.,Programming,jokeapi
