joke_id,text,category,source
23,"The glass is neither half-full nor half-empty, the glass is twice as big as it needs to be.",Programming,jokeapi
54,"Your momma is so fat, you need to switch to NTFS to store a picture of her.",Programming,jokeapi
273,"I hate double standards. Burn a body at a crematorium, you're ""being a respectful friend."" Do it at home and you're ""destroying evidence.""",Dark,jokeapi
36,"""Knock, knock.""
""Who's there?""

[very long pause]

""Java.""",Programming,jokeapi
40,Debugging: Removing the needles from the haystack.,Programming,jokeapi
203,"I bought some shoes from a drug dealer. I don't know what he laced them with, but I was tripping all day!",Pun,jokeapi
28,"Two C strings walk into a bar.
The bartender asks ""What can I get ya?""
The first string says ""I'll have a gin and tonic.""
The second string thinks for a minute, then says ""I'll take a tequila sunriseJF()#$JF(#)$(@J#()$@#())!*FNIN!OBN134ufh1ui34hf9813f8h8384h981h3984h5F!##@""
The first string apologizes, ""You'll have to excuse my friend, he's not null-terminated.""",Programming,jokeapi
50,Algorithm: A word used by programmers when they don't want to explain how their code works.,Programming,jokeapi
184,"Two fish in a tank. One turns to the other and says, ""Do you know how to drive this thing?""",Pun,jokeapi
73,"A horse walks into a bar.
""Hey"", the Bartender says.
""Sure"", the horse replies.",Pun,jokeapi
131,"Four engineers get into a car. The car won't start.
The Mechanical engineer says ""It's a broken starter"".
The Electrical engineer says ""Dead battery"".
The Chemical engineer says ""Impurities in the gasoline"".
The IT engineer says ""Hey guys, I have an idea: How about we all get out of the car and get back in"".",Programming,jokeapi
0,I've got a really good UDP joke to tell you but I don’t know if you'll get it.,Programming,jokeapi
151,My ex had an accident. I told the paramedics the wrong blood type for her. She'll finally experience what rejection is really like.,Dark,jokeapi
3,"A programmer puts two glasses on his bedside table before going to sleep.
A full one, in case he gets thirsty, and an empty one, in case he doesn't.",Programming,jokeapi
200,"My wife is really mad at the fact that I have no sense of direction.
So I packed up my stuff and right.",Misc,jokeapi
33,"Today I learned that changing random stuff until your program works is ""hacky"" and a ""bad coding practice"" but if you do it fast enough it's ""Machine Learning"" and pays 4x your current salary.",Programming,jokeapi
4,"Java and C were telling jokes. It was C's turn, so he writes something on the wall, points to it and says ""Do you get the reference?"" But Java didn't.",Programming,jokeapi
274,"My girlfriend's dog died, so I tried to cheer her up by getting her an identical one. It just made her more upset. She screamed at me, ""What am I supposed to do with two dead dogs?""",Dark,jokeapi
303,I visited my friend at his new house. He told me to make myself at home. So I threw him out. I hate having visitors.,Misc,jokeapi
207,"I'll never forget my Granddad's last words to me just before he died. ""Are you still holding the ladder?""",Dark,jokeapi
164,"My little daughter came to me all excited, saying ""Daddy! Daddy! Guess how old I'll be in June!""
""Oh I don't know princess, why don't you tell me?"" I said. She gave me a huge smile and held up four fingers.
It's now three hours later, police have joined in and she still won't say where she got them.",Dark,jokeapi
35,There are only 10 kinds of people in this world: those who know binary and those who don't.,Programming,jokeapi
138,"If you're here for the yodeling lesson, please form an orderly orderly orderly queue.",Misc,jokeapi
220,"Two SQL tables sit at the bar. A query approaches and asks ""Can I join you?""",Programming,jokeapi
24,"A byte walks into a bar looking miserable.
The bartender asks it: ""What's wrong buddy?""
""Parity error."" it replies. 
""Ah that makes sense, I thought you looked a bit off.""",Programming,jokeapi
177,"My grandfather says I'm too reliant on technology.
I called him a hypocrite and unplugged his life support.",Dark,jokeapi
39,The generation of random numbers is too important to be left to chance.,Programming,jokeapi
287,"A perfectionist walked into a bar... apparently, the bar was not set high enough.",Misc,jokeapi
194,Relationship Status: just tried to reach for my dog's paw and he pulled it away so I pretended I was reaching for the remote.,Misc,jokeapi
22,"If Bill Gates had a dime for every time Windows crashed ... Oh wait, he does.",Programming,jokeapi
305,"Yo mama is so old, she knew Burger King while he was still a prince.",Misc,jokeapi
42,Debugging is like being the detective in a crime movie where you're also the murderer at the same time.,Programming,jokeapi
95,I didn't vaccinate my 10 kids and the one that survived is fine!,Dark,jokeapi
34,"Eight bytes walk into a bar.
The bartender asks, ""Can I get you anything?""
""Yeah,"" reply the bytes.
""Make us a double.""",Programming,jokeapi
25,"ASCII silly question, get a silly ANSI.",Programming,jokeapi
256,"My wife and I have reached the difficult decision that we do not want children.
If anybody does, please just send me your contact details and we can drop them off tomorrow.",Misc,jokeapi
44,"Have a great weekend!
I hope your code behaves the same on Monday as it did on Friday.",Programming,jokeapi
9,Your mama's so FAT she can't save files bigger than 4GB.,Programming,jokeapi
137,"Doctor: ""I have some news about your baby.""
Parents: ""Don't tell us the gender, we want to keep it a surprise.""
Doctor: ""Oh I get it, you're those type of people. Okay, well IT is not breathing.""",Dark,jokeapi
258,UDP is better in the COVID era since it avoids unnecessary handshakes.,Programming,jokeapi
190,"To whoever stole my copy of Microsoft Office, I will find you. You have my Word!",Pun,jokeapi
318,I'd tell you a joke about NAT but I would have to translate.,Programming,jokeapi
219,"I was struggling to figure out how lightning works, but then it struck me.",Pun,jokeapi
125,I'm reading a book about anti-gravity. It's impossible to put down!,Pun,jokeapi
179,"Knock knock.
Who's there?
Recursion.
Recursion who?
Knock knock.",Programming,jokeapi
41,"Hey Girl,
Roses are #ff0000,
Violets are #0000ff,
I use hex codes,
But I'd use RGB for you.",Programming,jokeapi
45,"Judge: ""I sentence you to the maximum punishment...""
Me (thinking): ""Please be death, please be death...""
Judge: ""Learn Java!""
Me: ""Damn.""",Programming,jokeapi
270,Never date a baker. They're too kneady.,Misc,jokeapi
235,I was reading a great book about an immortal dog the other day. It was impossible to put down.,Pun,jokeapi
236,"I have a fish that can breakdance! Only for 20 seconds though, and only once.",Dark,jokeapi
122,"The six stages of debugging:
1. That can't happen.
2. That doesn't happen on my machine.
3. That shouldn't happen.
4. Why does that happen?
5. Oh, I see.
6. How did that ever work?",Programming,jokeapi
89,Oysters hate to give away their pearls because they are shellfish.,Pun,jokeapi
300,"I have a joke about Stack Overflow, but you would say it's a duplicate.",Programming,jokeapi
81,"I have these weird muscle spasms in my gluteus maximus.
I figured out from my doctor that everything was alright:
He said ""Weird flex, butt okay.""",Pun,jokeapi
183,Being a self-taught developer is almost the same as being a cut neck chicken because you have no sense of direction in the beginning.,Programming,jokeapi
38,"A man is smoking a cigarette and blowing smoke rings into the air. His girlfriend becomes irritated with the smoke and says ""Can't you see the warning on the cigarette pack? Smoking is hazardous to your health!"" to which the man replies, ""I am a programmer.  We don't worry about warnings; we only worry about errors.""",Programming,jokeapi
196,Schrödinger's cat walks into a bar and doesn't.,Misc,jokeapi
237,"I have a joke about trickle down economics, but 99% of you will never get it.",Pun,jokeapi
2,"A guy walks into a bar and asks for 1.4 root beers.
The bartender says ""I'll have to charge you extra, that's a root beer float"".
The guy says ""In that case, better make it a double.""",Programming,jokeapi
27,"Java is like Alzheimer's, it starts off slow, but eventually, your memory is gone.",Programming,jokeapi
12,"// This line doesn't actually do anything, but the code stops working when I delete it.",Programming,jokeapi
71,"Two reasons I don't give money to homeless people.
1) They are going to spend it all on drugs and alcohol
2) I am going to spend it all on drugs and alcohol.",Misc,jokeapi
56,"""Can I tell you a TCP joke?""
""Please tell me a TCP joke.""
""OK, I'll tell you a TCP joke.""",Programming,jokeapi
206,I was going to tell a dead baby joke. But I decided to abort.,Dark,jokeapi
72,"A neutron walks into a bar and asks for a price on a drink.
The barkeeper says: ""For you... no charge!""",Misc,jokeapi
5,"A SQL statement walks into a bar and sees two tables.
It approaches, and asks ""may I join you?""",Programming,jokeapi
43,"How do you tell HTML from HTML5?
- Try it out in Internet Explorer
- Did it work?
- No?
- It's HTML5.",Programming,jokeapi
20,"""We messed up the keming again guys.""",Programming,jokeapi
18,"""Honey, go to the store and buy some eggs.""
""OK.""
""Oh and while you're there, get some milk.""
He never returned.",Programming,jokeapi
37,"Programming is 10% science, 20% ingenuity, and 70% getting the ingenuity to work with the science.",Programming,jokeapi
272,My husband and I were happy for 20 years. And then we met.,Misc,jokeapi
199,"Today, my son asked ""Can I have a book mark?"" and I burst into tears.
11 years old and he still doesn't know my name is Brian.",Pun,jokeapi
234,"My parents raised me as an only child, which really annoyed my younger brother.",Misc,jokeapi
pGe2EYozAsc,What do you call a nervous javelin thrower? Shakespeare.,Dad Joke,icanhazdadjoke
GlGBIY0wAAd,How much does a hipster weigh? An instagram.,Dad Joke,icanhazdadjoke
zPZ0TClqrc,What do you call a guy lying on your doorstep? Matt.,Dad Joke,icanhazdadjoke
xHQucUvszd,To the guy who invented zero... thanks for nothing.,Dad Joke,icanhazdadjoke
eaMCQKRZ0ob,Don't buy flowers at a monastery. Because only you can prevent florist friars.,Dad Joke,icanhazdadjoke
g3LZTCYDYg,What do you call a pig with three eyes? Piiig,Dad Joke,icanhazdadjoke
M7EBXgVSCAd,"A weasel walks into a bar. The bartender says, ""Wow, I've never served a weasel before. What can I get for you?""
""Pop,"" goes the weasel.",Dad Joke,icanhazdadjoke
TC5TCt49prc,Why did the A go to the bathroom and come out as an E? Because he had a vowel movement.,Dad Joke,icanhazdadjoke
5oWLeFdxkjb,When is a door not a door? When it's ajar.,Dad Joke,icanhazdadjoke
